Date,Equity
2024-08-07T23:40:00Z,9320.51
2024-08-07T23:58:00Z,9340.93
2024-08-08T00:02:00Z,9328.02
2024-08-08T00:04:00Z,9314.56
2024-08-08T00:28:00Z,9302.61
2024-08-08T00:30:00Z,9184.06
2024-08-08T00:46:00Z,9171.89
2024-08-08T00:48:00Z,9159.73
2024-08-08T00:50:00Z,9111.17
2024-08-08T00:52:00Z,9062.82
2024-08-08T00:54:00Z,8954.52
2024-08-08T00:56:00Z,8847.31
2024-08-08T00:58:00Z,8741.17
2024-08-08T01:00:00Z,8636.09
2024-08-08T01:02:00Z,8532.06
2024-08-08T01:04:00Z,8429.07
2024-08-08T01:06:00Z,8327.11
2024-08-08T01:08:00Z,8226.17
2024-08-08T01:10:00Z,8126.24
2024-08-08T01:12:00Z,8027.31
2024-08-08T01:14:00Z,7929.37
2024-08-08T01:16:00Z,7832.41
2024-08-08T01:18:00Z,7736.42
2024-08-08T01:20:00Z,7641.39
2024-08-08T01:44:00Z,7659.19
2024-08-08T01:46:00Z,7676.70
2024-08-08T01:48:00Z,7694.25
2024-08-08T14:48:00Z,7712.23
2024-08-08T15:06:00Z,7730.18
2024-08-08T16:02:00Z,7747.98
2024-08-08T16:11:00Z,7765.74
2024-08-08T17:06:00Z,7755.38
2024-08-08T17:29:00Z,7772.94
2024-08-08T21:42:00Z,7790.74
2024-08-08T21:44:00Z,7807.92
2024-08-08T21:46:00Z,7825.15
2024-08-08T21:48:00Z,7842.42
2024-08-08T21:50:00Z,7859.72
2024-08-08T22:52:00Z,7878.04
2024-08-08T22:54:00Z,7895.49
2024-08-08T22:56:00Z,7786.18
2024-08-09T01:04:00Z,7776.69
2024-08-09T01:06:00Z,7667.65
2024-08-09T01:08:00Z,7684.74
2024-08-09T10:21:00Z,7702.66
2024-08-09T10:24:00Z,7601.10
2024-08-09T10:26:00Z,7500.56
2024-08-09T13:35:00Z,7461.92
2024-08-09T13:37:00Z,7363.37
2024-08-09T13:39:00Z,7380.24
2024-08-09T13:41:00Z,7397.15
2024-08-09T14:01:00Z,7387.53
2024-08-09T14:03:00Z,7404.90
2024-08-09T14:05:00Z,7422.30
2024-08-09T14:13:00Z,7439.74
2024-08-09T14:29:00Z,7430.12
2024-08-09T14:31:00Z,7341.48
2024-08-09T14:33:00Z,7358.39
2024-08-09T20:17:00Z,7349.16
2024-08-09T20:47:00Z,7339.08
2024-08-09T20:49:00Z,7328.33
2024-08-09T21:05:00Z,7345.44
2024-08-09T21:07:00Z,7362.44
2024-08-09T21:09:00Z,7379.47
2024-08-09T21:11:00Z,7396.55
2024-08-09T22:30:00Z,7387.01
2024-08-10T00:22:00Z,7404.41
2024-08-10T00:24:00Z,7421.29
2024-08-10T00:26:00Z,7438.21
2024-08-10T00:28:00Z,7455.16
2024-08-10T00:43:00Z,7445.63
2024-08-10T00:58:00Z,7436.12
2024-08-10T01:13:00Z,7453.25
2024-08-10T01:15:00Z,7355.59
2024-08-10T02:00:00Z,7345.76
2024-08-10T02:15:00Z,7243.70
2024-08-10T03:31:00Z,7233.20
2024-08-10T03:43:00Z,7221.67
2024-08-10T03:45:00Z,7210.15
2024-08-10T06:41:00Z,7198.69
2024-08-10T07:57:00Z,7215.45
2024-08-10T09:12:00Z,7231.89
2024-08-10T09:32:00Z,7248.52
2024-08-10T10:25:00Z,7238.27
2024-08-10T10:27:00Z,7135.43
2024-08-10T10:29:00Z,7090.18
2024-08-10T10:31:00Z,7078.92
2024-08-10T13:15:00Z,7069.10
2024-08-10T17:54:00Z,7058.95
2024-08-10T18:11:00Z,7075.44
2024-08-10T18:13:00Z,7091.97
2024-08-10T18:15:00Z,7108.54
2024-08-10T18:17:00Z,7125.14
2024-08-11T09:20:00Z,7142.20
2024-08-11T09:54:00Z,7132.80
2024-08-11T10:04:00Z,7123.01
2024-08-11T11:02:00Z,7140.02
2024-08-11T12:15:00Z,7157.11
2024-08-11T12:17:00Z,7146.65
2024-08-11T13:09:00Z,7163.43
2024-08-11T13:11:00Z,7119.59
2024-08-11T13:13:00Z,7108.68
2024-08-11T13:16:00Z,7097.78
2024-08-11T14:36:00Z,7114.58
2024-08-11T14:42:00Z,7104.15
2024-08-11T14:47:00Z,7093.72
2024-08-11T14:53:00Z,7083.79
2024-08-11T14:55:00Z,7044.10
2024-08-11T14:59:00Z,7034.22
2024-08-11T15:08:00Z,7024.79
2024-08-11T15:10:00Z,6924.90
2024-08-11T15:24:00Z,6913.90
2024-08-11T19:26:00Z,6930.55
2024-08-11T19:44:00Z,6919.98
2024-08-11T19:46:00Z,6909.42
2024-08-11T20:04:00Z,6925.70
2024-08-11T20:06:00Z,6828.47
2024-08-11T20:08:00Z,6732.21
2024-08-11T20:10:00Z,6636.92
2024-08-11T20:12:00Z,6542.57
2024-08-11T20:14:00Z,6449.17
2024-08-11T20:16:00Z,6356.71
2024-08-11T20:37:00Z,6348.32
2024-08-11T20:43:00Z,6363.51
2024-08-11T21:40:00Z,6354.43
2024-08-11T21:44:00Z,6369.91
2024-08-11T21:52:00Z,6385.43
2024-08-11T22:04:00Z,6401.21
2024-08-11T22:06:00Z,6416.58
2024-08-11T22:09:00Z,6406.35
2024-08-11T22:11:00Z,6370.16
2024-08-11T22:13:00Z,6361.15
2024-08-11T22:15:00Z,6280.17
2024-08-11T22:17:00Z,6271.26
2024-08-11T22:19:00Z,6262.37
2024-08-12T00:33:00Z,6228.48
2024-08-12T00:35:00Z,6193.10
2024-08-12T00:37:00Z,6113.85
2024-08-12T07:16:00Z,6105.65
2024-08-12T07:18:00Z,6069.50
2024-08-12T07:20:00Z,5988.53
2024-08-12T07:22:00Z,5908.37
2024-08-12T07:34:00Z,5923.11
2024-08-12T07:39:00Z,5938.13
2024-08-12T07:41:00Z,5864.37
2024-08-12T07:43:00Z,5831.91
2024-08-12T07:45:00Z,5823.84
2024-08-12T11:52:00Z,5838.75
2024-08-12T11:54:00Z,5853.14
2024-08-12T11:56:00Z,5768.68
2024-08-12T13:28:00Z,5760.13
2024-08-12T13:33:00Z,5751.56
2024-08-12T14:01:00Z,5743.82
2024-08-12T14:37:00Z,5758.60
2024-08-12T14:39:00Z,5773.12
2024-08-12T14:41:00Z,5787.68
2024-08-12T14:43:00Z,5802.27
